target_path	source_path	source_blob	classification	rationale
docker-compose.livetv.yml	docker-compose.livetv.yml	47b02ec1a948c5aba7318c3879c44a42ddaf61b2	adapted	Imported from pinned Prairie Live TV slice; product copy adapted from Prairie to Vondel.
docs/livetv-tuner-discovery.md	docs/livetv-tuner-discovery.md	6735dbc4d0f6b2e302fa7d9aeec4a6f70c1dbb60	adapted	Imported from pinned Prairie Live TV slice; product copy adapted from Prairie to Vondel.
internal/api/handlers/domain_consts.go	internal/api/handlers/domain_consts.go	760016c06a087f524b61f0781174aec57f4e2ba2	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/api/handlers/livetv.go	internal/api/handlers/livetv.go	3ac216cf670400ee4adc1a3a7e94978bb9e249ca	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/api/handlers/livetv_capabilities_test.go	internal/api/handlers/livetv_capabilities_test.go	0ca22aea0475f5b68f7558b5ccf080f7f9114009	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/api/handlers/livetv_history.go	internal/api/handlers/livetv_history.go	9c09cfcbe62ce000eeb2d66657b75b5c844690ab	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/api/handlers/livetv_hls_playlist_test.go	internal/api/handlers/livetv_hls_playlist_test.go	06f7e09f72fc8f880b1a267f1a694bfc359328c2	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/api/handlers/livetv_test.go	internal/api/handlers/livetv_test.go	d67002e2a6501c2f158cbdbdd783def68298e360	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/api/middleware/stream_token.go	internal/api/middleware/stream_token.go	75fc5b6d879605730808f08442eab89828a84c0d	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/api/middleware/stream_token_test.go	internal/api/middleware/stream_token_test.go	b298903edeca4fc823a4fb6d2eb39d565d45b7f2	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/jellycompat/domain_consts.go	internal/jellycompat/domain_consts.go	09a53b0ec258cecd8e9be81272e78d33eae78c9b	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/jellycompat/handlers_livetv.go	internal/jellycompat/handlers_livetv.go	01464e3718a57a796e6e86863fb3c87ff41893d1	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/jellycompat/handlers_livetv_test.go	internal/jellycompat/handlers_livetv_test.go	f28b6198777fb82e675568d60c4625904a6ccdf5	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/artwork_cache.go	internal/livetv/artwork_cache.go	01bf5f58980c4151bc0beb763c80c0dac3dbfc20	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/artwork_cache_test.go	internal/livetv/artwork_cache_test.go	1cf5d1844b1945debc1f0862fb1ff2b35ffa3e8a	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/artwork_index_pg.go	internal/livetv/artwork_index_pg.go	fddd2f0f992759f407d784839b1380e96b305dde	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/coverage_gate_test.go	internal/livetv/coverage_gate_test.go	007e1363fa7517c1620cee84fd7d6771025a68db	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/coverage_helpers_test.go	internal/livetv/coverage_helpers_test.go	707d87b383eb46ac8a43d5788bd1f0deb5673218	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/discover_test.go	internal/livetv/discover_test.go	e156650c42f1c7e626a5df206b4aa62654d550ca	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/fetch_url.go	internal/livetv/fetch_url.go	f9a4f46f5ed5d8ec618ce73822902b10e080d5e1	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/fetch_url_test.go	internal/livetv/fetch_url_test.go	0843cbe187932f5a316f15ec08cc5f775c321053	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/gracenote/client.go	internal/livetv/gracenote/client.go	9770c9ee10c95e452cf28ab8fc68818227390ff0	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/gracenote/client_test.go	internal/livetv/gracenote/client_test.go	f49183b7f732c584ed91c7ee9aeebdcaf66fa94d	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/guide_match.go	internal/livetv/guide_match.go	53d424a3ff2e3424286de15408855958b0b36c94	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/guide_match_test.go	internal/livetv/guide_match_test.go	53076df569efb6a0f772999bd1dcfeb2bb772c45	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/hdhomerun/client.go	internal/livetv/hdhomerun/client.go	4dd874b13e5401f805543ef59d2fc0d10ad0afb5	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/hdhomerun/client_test.go	internal/livetv/hdhomerun/client_test.go	b4a0df1d6f2bd4331310a5731601b20b588429f8	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/hdhomerun/coverage_gate_test.go	internal/livetv/hdhomerun/coverage_gate_test.go	7a05292454f7ae398bb7c642b5f194652d03f520	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/hdhomerun/lan_discover.go	internal/livetv/hdhomerun/lan_discover.go	a9c22be30d4b6657433579e2a61943ea3a93995c	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/hdhomerun/lan_discover_test.go	internal/livetv/hdhomerun/lan_discover_test.go	c4238486c350dded6c0e2dfa26043fb495809775	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/hdhomerun/packet.go	internal/livetv/hdhomerun/packet.go	aa031685feb02bdb7c4f32d7d9055464a644b78d	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
internal/livetv/hdhomerun/packet_test.go	internal/livetv/hdhomerun/packet_test.go	b096de61534e8207733045a8c217396edcc5fad8	adapted	Imported from pinned Prairie Live TV slice; adapted only for Vondel module identity and integration.
